Pitch_Filtrado:40.52   Pitch_Bruto:38.25
Pitch_Filtrado:40.38   Pitch_Bruto:41.07
Pitch_Filtrado:40.21   Pitch_Bruto:40.56
Pitch_Filtrado:40.03   Pitch_Bruto:40.30
Pitch_Filtrado:39.84   Pitch_Bruto:40.42
Pitch_Filtrado:39.63   Pitch_Bruto:40.04
Pitch_Filtrado:39.41   Pitch_Bruto:39.29
Pitch_Filtrado:39.14   Pitch_Bruto:38.14
Pitch_Filtrado:38.90   Pitch_Bruto:36.55
Pitch_Filtrado:38.71   Pitch_Bruto:36.25
Pitch_Filtrado:38.59   Pitch_Bruto:36.71
Pitch_Filtrado:38.51   Pitch_Bruto:37.19
Pitch_Filtrado:38.46   Pitch_Bruto:37.65
Pitch_Filtrado:38.41   Pitch_Bruto:37.87
Pitch_Filtrado:38.36   Pitch_Bruto:38.01
Pitch_Filtrado:38.30   Pitch_Bruto:37.99
Pitch_Filtrado:38.23   Pitch_Bruto:38.04
Pitch_Filtrado:38.15   Pitch_Bruto:38.16
Pitch_Filtrado:38.05   Pitch_Bruto:38.23
Pitch_Filtrado:37.93   Pitch_Bruto:38.11
Pitch_Filtrado:37.78   Pitch_Bruto:37.49
Pitch_Filtrado:37.62   Pitch_Bruto:36.99
Pitch_Filtrado:37.46   Pitch_Bruto:36.67
Pitch_Filtrado:37.30   Pitch_Bruto:36.59
Pitch_Filtrado:37.15   Pitch_Bruto:36.42
Pitch_Filtrado:36.99   Pitch_Bruto:36.46
Pitch_Filtrado:36.83   Pitch_Bruto:36.28
Pitch_Filtrado:36.67   Pitch_Bruto:36.25
Pitch_Filtrado:36.52   Pitch_Bruto:36.19
Pitch_Filtrado:36.36   Pitch_Bruto:35.98
Pitch_Filtrado:36.23   Pitch_Bruto:35.75
Pitch_Filtrado:36.11   Pitch_Bruto:35.43
Pitch_Filtrado:36.01   Pitch_Bruto:35.51
Pitch_Filtrado:35.93   Pitch_Bruto:35.63
Pitch_Filtrado:35.89   Pitch_Bruto:36.01
Pitch_Filtrado:35.87   Pitch_Bruto:36.55
Pitch_Filtrado:35.88   Pitch_Bruto:37.00
Pitch_Filtrado:35.90   Pitch_Bruto:37.14
Pitch_Filtrado:35.91   Pitch_Bruto:37.24
Pitch_Filtrado:35.91   Pitch_Bruto:37.23
